birth	death	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR
1923	1991	1	1	4										
1902	1988			1										
1932	1992	2												
1940	2006		3		2									
1930	1993	2												
1928	1993	2		1										
1922	1988			2										
1924	1994			1										
1983	2008							1						
1963	2008				5									
1912	2007			12										
1922	1990	1	1	3										
1929	1986	1		2										
1950	1989		1											
1908	1987			1										
1933	1978				1									
1943	1999		2											
1918	1995			2										
1929	2000			1										
1921	1989			1										
1954	2006		2			1								
1933	2001	1												
1925	1997	1	1	4										
1924	1986			1	1									
1901	1987			1										
1922	1975			1										
1937	1998		1		1									
1965	2007				3	1								
1930	1992	1	1	1										
1920	1998			3	1									
1945	2009		9			1								
1915	1974			1										
1925	1983			1										
1925	1992			1										
1932	2009	15	5		1									
1942	2009		6		3									
1935	2009	9	1		2									
1930	2009	9	3	4	3									
1924	1993			2										
1915	1999			1										
1936	1999	1	1											
1915	2009			8										
1921	2009	2	1	21										
1936	2009	10	4		1									
1945	2001		1											
1954	2009		2											
1845	1916													1
1931	2009	16	6	1	1									
1972	2008					2								
1933	2009	18	5		1									
1923	2009	4	2	25										
1928	2009	9	4	12										
1916	2009			5										
1917	1980			1										
1948	2009		9			1								
1924	2009	1	2	32										
1944	1978			1										
1922	2009	6	3	30										
1911	2009			2										
1937	2009	5	4		4									
1929	1988	2		1										
1920	2009	3	1	17										
1918	2009			10										
1944	2009		11		1									
1934	2009	11	1		1									
1929	2009	13	2	5										
1913	2009			3										
1941	2009		7		5									
1842	1929													1
1949	2009		11			1								
1927	2009	5	2	16										
1909	1999	1		1										
1950	2009		10		1									
1936	2008	18	9		7									
1939	2003				1									
1922	1989			1										
1926	1998	1		2										
1928	1984	1	1	2										
1930	1994			1										
1923	1999			1	1									
1842	1925													1
1924	2001			1										
1826	1903													1
1926	2009	9	1	23	1									
1926	1994	1												
1844	1926													1
1914	2009	1		2										
1947	2009		13											
1964	2007				8									
1926	1988			2										
1925	2009	1		11										
1951	2008		13											
1917	2009	1		9										
1930	2006	5	2	5	1									
1837	1922													1
1844	1906													1
1959	2009		1			1								
1946	2009		10											
1943	2009		14											
1921	2002			3										
1916	1988	1	1	1										
2016	2067			1										
1925	2004	2	1	3										
1844	1930													1
1940	2009		4		2									
1963	1994					1								
1955	2009		2		2									
1938	2009	4	2		4									
1922	2001	1		1										
1836	1907													1
1925	1978			2										
1931	2003	2			1									
1966	2008					1								
1956	2009		2		1									
1916	1986			1										
1939	2009		4		6									
1942	1990		1											
1926	1983			2										
1848	1915													1
1919	1987			1										
1848	1919													1
