birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1930	1984	2562	2287	335	103	154		2																1	
1900	1978	1169	53	4	659	80		471									1								
1936	1984	1002	432	225	7	399																			
1938	1982	524	31	186	3	309							1												
1890	1976	1220	7	1	58	44		1131									6								
1926	1968	1527	266	67	1068	199		7																	1
1870	1964	50			1	8		16			31						2								
1892	1938	75				9		66																	
1892	1956	3534	10	1	168	412		3000			2						22								
1954	1978	283	3	194	3	85																			
1898	1982	1317	46	2	461	52		907									10								
1888	1982	360	2		21	18		327									5							1	
1902	1942	66			55	11		1																	
1930	1982	2000	1786	287	91	106		4																	1
1894	1958	4372	21	2	230	474		3720			1				1		14								
1910	1954	706	48		575	101		3																	
1890	1964	3420	6		150	288		3052			1						8								
1942	1986	798	5	623	8	162		1							1										
1896	1980	1978	22	1	230	76		1738									15								
1910	1984	3257	331	77	3109	93		9																	
1952	1984	391	1	333		57																			
1904	1984	1309	148	20	1154	110		41																	
1890	1984	424	4		26	14		401									3								
1886	1964	1730	2	1	83	179		1502			6						2								
1954	1988	507	1	362		144						1	2												
1892	1958	3954	8	1	171	389		3446			1						20						2	1	
1884	1968	331			31	46		257			6						7								
1904	1986	1249	118	16	1109	106		32																	
1938	1988	1028	50	369	5	618		1				1	1												
1912	1972	2620	203	52	2448	90		13									1								
1898	1972	2018	35	1	643	143		1291									8								
1882	1966	299			22	48		212			34						7						1		
1900	1966	2044	57	5	1097	226		776									2								
1898	1966	2896	35	1	929	238		1830									19								
1896	1964	5156	19	1	568	439		4291			4						19								
1894	1964	5594	21	1	278	455		4960			1				2		18								
1894	1956	3790	16	1	164	424		3254									15								1
1890	1952	2106	6		93	275		1761			2						5								
1884	1952	576	1	1	33	126		414			17						5						1		
1916	1976	3391	340	135	3196	91		10															1		
1892	1944	849			54	250		546			1				1		7						1		
1944	1968	707	3	565	8	132									1										
1888	1956	2634	2		98	322		2246									21								1
1898	1976	1648	39	1	500	82		1125									4						1	1	1
1952	2004	2272		1899		294	176		5	7		7	10			1									
1908	1958	1224	53	1	1050	144		7					1		1										
1894	1988	800	10		56	8		752									5								
1876	1950	443	1		6	99		107			235				2		4			1					
1880	1954	476			35	92	1	224			155						9						1		
1908	1974	2482	141	36	2289	147		6																1	
1888	1978	635	2		26	34		580									5								
1868	1940	16				3		4			9									2					
1934	1978	712	465	148	10	158																			
1890	1980	781	4		45	27		725			1						6								
1890	1948	1232			44	201		986			4				1		9								
1866	1936	13				3		2			8														
1894	1954	3138	5	1	125	347		2697			3				1		15								1
1928	1950	920	619		116	198		2																	
1934	1954	169	127		4	40		1																	
1870	1962	61				15		8			38														
1932	1976	897	770	117	11	77		3																	
1886	1976	370			20	17		337			1						2								
1928	1976	1524	896	163	528	106		5			1														
1918	1942	980		1	844	127		8																	
1904	1978	1287	112	8	1116	125		36																	
1878	1970	93			4	13		31			47						1								
1932	1984	2095	1897	282	25	113																			
1866	1940	9				3		2			4														
1902	1968	1248	55	3	910	175		173									1								
1912	1986	4058	396	121	3887	119		4																	
1914	1954	660	57		554	72		2																	
1934	1988	1972	1380	335	16	455							1												
1944	1986	770	1	712	4	53																			
1890	1988	168	1		11	5		161																	
1910	1974	2531	171	31	2336	132		5																	
1920	1968	2762	217	78	2377	253		8																1	
1920	1950	626	162		392	113		3																	
1920	1966	2602	198	55	2321	199		12																	
1926	1958	600	120	1	379	119		5																	
1878	1964	287			9	63		88			137														
1898	1962	2914	32	2	864	275		1887			1						16								1
1892	1982	1118	10		77	41		1025									7								
1902	1958	983	43		688	169		140																	1
1900	1992	477	27	2	287	34		189																	
1976	2004	109				18	60		47					5				2							
1946	1984	721	1	684	5	31																			
1924	1946	322			264	56		2																	
1886	1970	857	2		41	71		765			4						2								
1892	1966	4042	13	1	198	334		3585			1				1		21						1		1
1878	1952	551			11	126		176			255						2								
1894	1962	5510	23	3	306	515		4775			1				2		22						3		1
1966	1994	117				62	52			4						5									
1880	1966	298			16	57		159			77						2								
1902	1980	965	78	11	754	82		150																	
1894	1942	78			13	19		46									1								
1904	1944	213			173	37		2			1														
1892	1974	2232	14	1	103	120		2031			2						7								
1920	1974	3654	385	162	3304	171		13																	
1914	1966	2612	162	39	2323	238		6																	
1888	1988	82	1		4	5		75																	
1932	2000	7158	6510	1245	18	395	22					2	2												
1924	1942	299			263	36																			
1884	1956	670	1		41	120		524			14						8								
1900	1958	1409	20		676	227		563									1								
1926	1976	2114	499	144	1635	95		5																	
1928	1974	1500	870	146	484	160		11																	
1890	1974	1436	6		58	87		1308			3						6								
1910	1978	2679	219	69	2521	96		10							1										
1930	1956	331	201		15	116																			
1930	1980	1734	1519	249	61	107	1																		
1942	2000	2975	3	2554		411	35			1		6	6												
1872	1958	199				42		49			115														
1900	1988	714	57	6	417	36		311									3							1	
1948	2000	3010		2927		73	75			4		10	9												
1956	1990	476	1	183	2	277	13					1	2												
1902	1994	377	45	4	323	24		50																	
1904	1994	699	97	9	633	59		8																	
1910	1944	830			712	116		2																	
1900	1950	627	10		263	112		255			1						1								
1844	1938	4				1									3										
1908	1992	2323	219	55	2197	89		5																	
1874	1942	15			1	5		2			8						1								
1932	1986	2342	2110	314	27	155		1																	
1888	1966	2441	1		122	222		2138			1						12								
1886	1948	817			33	151		637			3						7								
1890	1954	2348	7	4	93	234		2041			1						19						2		
1954	1986	420		302		116						1	2												
1948	1996	1999	1	1937		52	46			1		6	4			1									
1908	1964	2343	122	17	2064	222		18																	
1906	1960	1539	64	2	1293	209		18																	
1910	1964	2317	134	18	2050	212		8			1														
1934	1986	1701	1204	314	7	358																			
1890	1982	582	6	2	25	16		554									2								
1916	1942	694			606	87		1																	
1898	1986	1048	40	3	353	40		736									8								
1928	1978	1854	1149	206	646	118		2																	
1908	1942	139			119	19		1																	
1932	1974	902	720	125	20	104																			
1908	1968	2219	106	21	1947	207		18									1								
1876	1954	511			6	107		117			291						2								
1876	1942	50			4	17		7			22														
1880	1974	44			4	10		26			8						1								
1956	1998	757		274		421	66			3		5	5												
1938	1986	866	65	327	13	479																			
1902	1990	654	64	7	518	63		92									1								
1890	1942	73			12	16		45																	
1954	1996	784		554		203	42					1	2												
1876	1964	237			5	45		60			133						2								
1870	1940	19				4		3			12														
1952	1980	338		285	2	51																			
1886	1980	183	1		13	9		164									2								
1884	1958	681	1	1	70	143		486			12						9						1		
1902	1946	184			110	55		24																	
1930	1966	802	448	121	27	231		2																	
1902	1982	992	99	4	772	84		154																1	
1940	1990	1138	6	659	5	467	3					2	2												
1892	1988	412	7	1	21	13		388			1						6								
1908	1944	539	1		462	72		3			1														
1920	1944	3806	2	1	3367	423		12							1										
1928	1966	930	425	75	287	198		3																	
1892	1976	1841	12		100	70		1704									8								
1916	1960	1568	102	5	1326	183		6																	
1948	2002	3725		3603		103	108		1	2		3	3			1									
1840	1940	2				1									1										
1902	1978	968	58	10	729	105		140									1								
1892	1968	3348	14	5	176	311		2907							2		17								1
1942	1984	636	3	477	11	145	1					1													
1876	1968	108			1	16		29			61						2								
1926	1964	1251	237	31	886	170		4							1										
1886	1968	1030			53	106		890			3						9								
1892	1970	3041	14	5	129	192		2755							2		14								
1926	1978	2459	610	174	1943	86		5																	
1894	1946	1221			52	209		965			2				2		8								
1922	1942	718			641	74		4																	
1900	2002	26	4	2	22	1		8																	
1932	1970	748	576	88	16	100		2																	
1958	1984	260	1	6		249						1	3												
1938	2000	3110	63	1352	4	1714	23					8	8												
1946	1988	1121	2	1084	3	32						2	2												
1882	1952	488	1		36	118		288			54						9								
1886	1944	482			22	176		282			3						2								
1942	1994	1709	3	1266	5	437	12			2		3	3												
1862	1922	1													1										
1854	1928	1									1														
1832	1918	1													1										
1838	1904	2													2										
1842	1920	8													8										
1828	1914	1													1										
1840	1920	7				3									4										
1838	1914	12				6									6										
1960	1998	349				291	52			2		4	5			1									
1866	1926	1									1														
1842	1916	16				5		1							10										
1834	1922	2													2										
1832	1910	5				1									4										
1840	1918	6													6										
1844	1918	10				1									8					1					
1840	1922	6				1									5										
1922	1960	1157	85	7	974	136		8																	
1838	1916	14				1									13										
1840	1914	8				4									4										
1866	1912	2				1									1										
1864	1916	2				1									1										
1824	1914	1													1										
1826	1914	2													2										
1842	1918	8				3									5										
1842	1910	7				2									5										
1844	1920	12				1									11										
1846	1912	2													2										
1898	1928	7				2		3			2														
1846	1906	4				2									2										
1936	1990	1700	707	393	8	699	2						1												
1832	1912	5													5										
1836	1906	4				1									3										
1930	1978	1343	1159	184	48	101																			1
1864	1930	5				3					1				1										
1950	2002	2539		2365		139	107		1	3		1	1	1		1									
1828	1928	1													1										
1848	1922	2													2										
1836	1912	5				1									4										
1832	1924	2													2										
1844	1926	9													8					1					
1842	1912	5				1									4										
1842	1926	6													6										
1906	2002	489	57	11	463	23		1																	
1944	1980	373	2	336	4	31																			
1844	1900	4				3									1										
1896	1952	2292	9	3	214	270		1829			2						14								1
1834	1914	3				1									2										
1934	1982	1145	774	222	18	265																			
1888	1992	14	1		1			13																	
1952	2000	1551		1318		176	108			4		6	7			1									
1826	1904	2													2										
1890	1918	36				15		19							2										
1850	1922	2				1									1										
1830	1916	3													2					1					
1960	1992	288				259	26			1		2	2												
1842	1924	16				6									10					1					
1834	1918	6				2									4										
1846	1916	6				4									2										
1876	1928	12				3		3			5				1										
1896	1998	65	4		14			56									1								
1832	1906	2				1									1										
1836	1904	1													1										
1818	1912	1													1										
1834	1908	7				3									4										
1844	1912	7				1									6										
1836	1930	1													1										
1844	1908	5				1									4										
1824	1906	6				2									4										
1866	1930	5				1		2			2														
1928	1956	370	189		104	94		1																	
1958	1992	430		8	1	380	35			2	1	4	4			1									
1950	2000	2024		1899		99	94			3		5	4			1									
1848	1908	2				1									1										
1840	1908	4				1									3										
1846	1930	5													5										
1840	1916	8				1									7										
1880	1920	3				1		1							1										
1846	1918	11				3									8										
1826	1910	1													1										
1844	1892	2													1					1					
1838	1924	8				3									5										
1842	1928	7				2									5										
1848	1920	3													3										
1828	1900	1													1										
1846	1926	7				2									5										
1842	1904	7				3									4										
1930	1950	1017	770		20	225		4			1				1										
1846	1908	4													4										
1826	1902	2				1									1										
1884	1922	3				2									1										
1972	1992	45	1	1		14	30																		
1830	1914	2													2										
1906	2004	286	33	11	277	7		1																	
1832	1916	3				1									2										
1836	1914	6				1									5										
1834	1912	6				2									4										
1940	2002	3435	4	2349	1	1076	47			2		5	7			1									
1850	1916	2				1									1										
1844	1928	9				2									7										
1838	1930	1													1										
1842	1906	6				3									3										
1918	1952	629	73		488	76		6			1														
1912	1944	1062			916	140		6							1										
1988	2006	16				3	2		11					2											
1950	1990	882		815	2	60	12																		
1886	1960	1883	3		71	216		1614			3				1		10								
1882	1970	159			16	23		116			12						1								
1878	1966	204			5	37		69			96						5						1		
1864	1944	42			1	13		6			21									1					
1904	1954	625	31		475	114		27			1														
1930	1952	576	411		18	149		2																	
1894	1948	1483			61	248		1181			4				1		5								
1868	1944	103				33		15			54				1		2			2					
1906	1994	1447	155	26	1392	49		2																	
1888	1958	2864	6	3	124	345		2428			4				2		8						1		1
1922	1964	1947	143	32	1681	189		4																	
1896	1958	3615	19	3	354	368		2952			1				1		18						1	1	
1876	1944	274			7	81		48			142						1								
1886	1954	1457	3		54	211		1204			6				1		8								
1936	1986	1301	581	332	13	487							1												
1906	1990	1971	157	20	1838	99		17																	1
1954	1984	369		262		104						2	4												
1940	1972	258	4	154	8	94		1																	
1880	1948	284			7	83		125			71				1		6								
1884	1940	34			2	11		20			1														
1866	1932	1									1														
1878	1936	38				10		7			21														
1852	1938	3				2														1					
1878	1942	31	1		1	13		5			13						1								
1882	1982	14			1			12			1														
1876	1956	543		1	5	98		118			341						5						1		
1918	1964	2542	181	46	2222	221		20																	
1890	1950	1622	2		64	243		1322			1						13								1
1968	1994	137		1		26	109			7						7									
1878	1944	275	1	1	12	103		59			108						1						1		
1896	1996	135	3	1	29	1		114									2								
1868	1946	94			2	29		20			45														
1942	1968	509		353	15	140		1																	
1880	1962	424			23	96		209			115			1	1		4								
1888	1940	57			1	11		44									1								
1842	1932	9													9										
1920	1948	341			270	65		6						1											
1872	1942	17			2	4		1			10														
1874	1946	234			1	79		65			98														
1878	1956	547	1		16	140		175			243						2						1		
1886	1952	1437	4		53	222		1176			7						9								
1944	1974	317		279	9	29																			
1876	1946	324			3	111		73			144				1		1						2		
1896	1994	234	9		41	5		208									10								
1886	1938	42			1	7		32			2														
1876	1962	346	1		7	77		67			210						1								
1872	1956	247			1	54		61			137				1		1								
1954	1994	809	1	571	1	206	46			1		5	5			4									
1922	1968	2344	171	64	2015	227		3							1					1				1	
1926	1970	1603	394	114	1172	114		5																	
1872	1962	105				23		20			64														
1894	1944	875			56	267		551			2				2		6								
1942	1970	351	2	265	14	71																			
1874	1956	356			2	67		76			223						1								
1948	1984	646	1	625	1	18						1													
1908	1962	1949	88	10	1676	217		14					1												
1892	1952	2607	7		123	330		2173			1						18								
1872	1954	242	1		2	55		50			144						2			1					
1876	1960	435			7	94		98			253						1								
1906	1968	2275	90	19	2005	222		18							1										
1868	1948	76			1	24		18			36												1		
1844	1936	3													3										
1964	1988	132		1		128				2		1													
1878	1958	530	1	1	16	110		169			253														
1902	1956	755	32		520	144		102																	
1880	1958	499			31	102		237			151						6								
1914	1958	1112	74	1	925	150		4											1						
1854	1932	1																		1					
1872	1944	149			6	58		24			63						1								
1882	1962	439			32	103		268			50						4			1			1		
1868	1954	131			1	21		31			85						3			2					
1870	1944	115				41		15			59			1											
1954	1990	596	3	423	2	156	13			1			2												
1928	1972	1229	719	111	426	91		3					1												
1918	1956	909	90	2	759	103		2			1														
1884	1948	339			23	89		226			10						3								
1902	1950	355	9		233	69		49																	
1900	1994	327	30	2	204	8		141									4								
1934	1976	645	421	109	15	153		2																	
1936	1966	418	58	117	5	237		3																	
1878	1960	471	2	1	21	90		167			212						3								
1860	1936	11				2		1			6				1					1					
1896	1990	646	10		98	9		578									9							2	
1868	1960	45			1	10		13			23														
1876	1948	304			3	84		82			142			1			2						2		
1940	1966	418	4	228	10	177									1										
1874	1944	207			3	81		21			105						2		1						
1894	1932	34			1	9		24																	
1862	1942	3				2					1														
1930	1962	537	339	22	19	165		2																	
1874	1952	363			3	74		87			207						7						2		1
1920	1942	1113			973	137		3																	
1904	1966	1659	81	4	1384	208		47							1										
1902	1960	1143	40	3	810	192		161																	
1870	1936	21				4		3			13									1					
1856	1946	10				2		1			7				1										
1876	1936	40				9		9			23														
1956	1996	627	1	227	2	346	59			1		3	3												
1900	1996	194	21	2	130	5		71									1								
1958	2000	684		7		580	89			5		14	14			2									
1926	2010	14029	3832	1303	11833	205	1																		
1960	1994	355		2		286	56			5		12	9			4									
1898	1990	574	16	1	186	24	1	409									6							2	
1966	1990	122		2		90	28			2		1													
1950	1970	490	6	430	9	43		2																	
1940	1980	373	10	210	3	156																			1
1944	1982	412	1	365	5	42																			
1946	1980	467	1	439	4	23																			
1946	1996	2240	2	2190	2	38	47			1		5	4			1									
1830	1912	1													1										
1874	1938	28				7		3			19														
1874	1948	289			3	77		79			134						1			1					
1948	1970	753	2	702	3	44		2																	
1882	1948	264			14	84		158			10				1		7								
1964	2002	231				149	76		4	2		4	4	1		3		1	1						
1936	1964	358	56	62	4	238		1																	
1910	2002	1665	250	80	1624	26																			
1928	1964	917	419	47	301	210					1														1
1936	1982	748	326	173	6	296							1												
1952	1972	245	2	213	10	21																			
1914	1942	429			380	46		2							1										
1942	1978	338	2	238	4	93		1							1										
1954	1974	237	3	165	7	62		1																	
1906	1958	1293	65		1076	173		19																	
1946	1976	473	1	436	4	31		2																	
1946	1986	904	1	870	4	30						1	1											1	
1960	1988	233				227						4	3		1										
1966	2002	217				113	102		2	6				1		2									
1890	1938	68				3		65																	
1870	1956	142			1	28		32			87														
1888	1948	1149			40	222		886			1				1		4								
1958	1996	463		2		413	45			1		3	4			1									
1898	1994	266	18	1	100	12		186									7								
1962	1998	226				169	51			2		4	5												
1882	1968	232			17	41		152			27														
1910	1956	904	46		786	92		6																	
1846	1932	4													4										
1886	1982	126	1		9	3		118			1						1								
1952	1990	725	3	608	2	108	9	1																	
1916	1948	281	1		213	58		9			1														
1840	1862	11													11										
1882	1956	512	1	1	32	114		340			45						6						1		1
1872	1952	257	1		2	44		52			163						3			1					
1878	1954	557	2	1	12	137		176			251						2								
1864	1958	18				3		5			11									1					
1906	1964	2372	93	5	2101	240		17																	
1880	1938	34				7		14			13														
1952	1978	307	2	247	3	55																			
1872	1940	17				4		3			11						1								
1912	1942	271			230	40		1																	
1908	1960	1563	68	3	1333	203		4			1														
1924	1962	1262	114	18	1044	149		3																	
1904	1958	1007	46		788	175		31																	
1920	1954	668	69		538	95		2																	
1910	1960	1498	88		1276	191		5																	
1870	1950	161				39		30			92						1								
1870	1952	192	1		2	42		38			114						2								
1952	1982	329	4	258	2	64							1												
1840	1932	1													1										
1950	1982	406		381	1	22	1	2				1													
1878	1938	37				10		10			17														
1896	1946	958			78	176		704			5				1		2								
1880	1968	190	1		10	38		93			57						1								
1926	1954	417	99		264	68		3																	1
1858	1950	4						2			2														
1890	1986	292	2		22	9		270			1						4								
1876	1934	23				5		3			14				1										
1922	1958	902	70	2	718	136		2																	
1878	1940	40				11		3			27						1								
1852	1946	1																		1					
1880	1970	134	1		5	23		78			31				1		1								
1888	1944	739			22	243		474			1						4								
1892	1942	98			23	20		58							1										
1894	1950	2067	3		112	274		1709			2						7								
1920	1964	2497	194	40	2174	220		13																	1
1860	1940	7				1		2			3									1					
1940	1970	268	1	155	7	106																			
1896	1944	750			63	227		457			3				1		4								
1882	1944	176			7	78		72			20														
1906	1944	398			340	57		1																	
1930	1964	702	416	64	28	219		1																	
1896	1948	1232	3		82	202		955			1				2		10								1
1884	1960	645	1		39	117		482			19				1		6								
1878	1950	445	1		11	111		129			200						5								
1880	1952	499	1	1	15	116		232			149						5								
1864	1950	55				24		8			22				1		1			1					
1910	1952	582	37		472	79		6																	
1916	1952	499	53		394	68		5																	
1866	1954	75	1			15		21			39									1			1		
1898	1944	466			104	135		233			3						1								
1904	2000	288	42	9	271	12		6																	
1880	1936	30			1	8		13			7						2		1						
1870	1946	148			3	48		34			67						2								
1866	1948	62			1	19		13			27				1										1
1936	1962	284	52	37	4	195																			
1922	1962	1564	113	21	1314	182		5																	
1922	1940	65			61	4		1																	
1882	1972	105		1	11	21		74			7						1								
1926	1962	940	180	13	679	116		3																	
1934	1960	283	135	7	5	138		1																	
1938	1962	237	7	45	5	179							1												
1900	1964	2152	42	4	1058	218		950									3								
1870	1948	135			1	37		44			54				1		2								
1934	1972	471	286	76	7	124																			
1874	1954	380			3	86		56			241						3								
1878	1968	149			6	21		55			70														
1940	1994	1554	10	843		699	12			1		3	3												
1938	1966	367	8	148	2	207		1					1												
1932	1962	448	258	14	10	166		1			1														
1968	2004	200				57	130		20	8				4		5		3	1						
1974	1996	57		1		26	29									4									
1824	1910	1													1										
1864	1918	2						1							1										
1836	1928	2													2										
1960	1986	234	1	3		230																			
1924	1970	2086	257	78	1805	109		7																	1
1824	1912	1													1										
1956	1986	374		149	1	224						1	1												
1828	1920	1													1										
1836	1910	6				1									5										
1926	1946	260			207	49		5									1								
1862	1926	1													1										
1958	1990	355	1	9	1	322	18					4	3												
1840	1930	2													2										
1970	1994	94			1	17	74			1						4									
1960	2000	462		1		376	70			6		14	14			3									
1872	1930	11				2		1			8														
1838	1912	9				2									7										
1838	1922	4													4										
1964	1984	82	1		1	79							1												
1956	1994	613		236	1	334	53			2		5	3			3									
1846	1928	5				1									4										
1948	1974	449	2	409	5	36																			
1824	1864	8				1									7										
1848	1926	3				1									2										
1904	1952	529	27		393	103		21																	
1848	1904	2									1				1										
1816	1926	1													1										
1964	2004	321				191	105		19	4		10	13	5		1		3	1						
1826	1920	1													1										
1830	1918	1													1										
1864	1912	2				1									1										
1950	1984	508	4	467	3	34						1	2												
1836	1926	2													2										
1844	1904	3				1									2										
1826	1906	3				1									2										
1838	1908	6				3									3										
1828	1904	3				1									2										
1834	1916	3				2									1										
1832	1904	6				3									3										
1842	1908	2									1				1										
1958	2002	807		15		675	98		2	5		19	21	3		5		2							
1848	1912	5				3									1					1					
1836	1922	3													3										
1954	1980	287		195	1	91																			
1972	2004	121				18	79		34					3		2		1							
1892	1916	7				2		4							1										
1984	2004	105				10	26		83					8		2		2	2						
1932	1952	415	325	1	9	80		2			1														
1964	1992	130				100	27						2			2									
1950	1986	634		583	2	46						1	3												
1860	1914	1													1										
1880	1950	365	1		12	104		166		1	91						3								
1904	1960	1142	60	2	894	204		30																	
1874	1940	32				8		2			21												1		
1912	1954	636	40	1	528	81		3																	
1864	1936	9				3		1			4									1					
1866	1938	20				7		3			10														
1962	1996	222		1		161	53			2		7	5			1									
1894	1952	2677	6	3	116	352		2224									17						1		
1882	1954	489	2		25	120		316			42						8								
1866	1920	1													1										
1874	1964	145			2	24		36			88						2			1					
1858	1934	3									1				1					1					
1894	1938	79				15		63							1		1								
1912	1958	1153	66	1	982	133		5																	
1924	1958	752	90		571	110		3																	
1902	1952	509	20		335	95		83																	
1952	1986	468		386	2	79							1												
1880	1964	357			17	69		185			96						4								
1880	1978	21			1	4		13			3														
1900	2006	3	1		2			1																	
1874	1936	35				9		6			19				1										
1870	1942	12				8		2			2														
1914	1956	874	67		747	90		5															1		
1910	1958	1128	48	1	964	131		6																	
1938	1984	720	39	267	5	414							1												
1888	1938	68				8		60									1								
1864	1934	6				3		2			1														
1866	1952	81				29		14			37						1			1					
1940	1986	684	11	375	5	300																			
1892	1936	75			1	8		65							1										
1858	1942	1									1														
1920	1958	1124	92	1	907	159		6																	
1884	1962	621			54	123		461			8						6						1		
1884	1946	281			13	80		183			7				1		5								
1866	1946	67			1	22		12			32														
1880	1946	281		1	3	80		133			62				2		5						1		
1864	1938	13				3		1			9														
1944	1972	294	1	266	5	21		1																	
1900	1946	299		1	100	73		132																	
1926	1974	2018	456	134	1512	138		11			1														
1844	1932	4				1									3										
1884	1970	257	2	1	30	41		194			9						4								
1842	1936	5													5										
1914	1952	554	46		457	61		3																	
1966	1996	110				44	64			2						1									
1848	1952	1						1																	
1888	1942	71			7	20		45									2								
1878	1946	305			2	110	1	88			113				1		1								
1892	1946	1097	2	1	37	196		864			2				2		3								1
1888	1946	932			27	189		721			1				1		4								
1904	1992	823	84	19	739	64		19			1													1	
1924	1954	542	92		402	66		4																	
1964	1994	164		1		108	53			2		3	2			2									
1894	1992	301	6		23	5		282									5							1	
1898	1952	1430	11		351	210		897			1						8								1
1972	1994	55				17	37									4									
1920	1962	1864	124	35	1618	184		6																	
1894	1994	137	6		11	1		130									3								
1918	1958	1124	77	1	943	134		12																	
1870	1960	89				21		20			52						1								
1898	1992	416	18	2	146	18		277									4							1	
1892	1994	58	2		3	3		54									4								
1966	1992	115		1	1	67	43			3		1				1									
1968	1992	112		1		44	65			2															
1970	1992	98		2		28	67									2									
1912	1960	1465	79	4	1283	140		8																	
1900	1976	1299	60	3	695	103		533									3								
1914	1932	8			7	1																			
1882	1960	521			32	150		310			47						6								
1918	1960	1510	106	5	1274	174		16			1						1								
1974	1992	10	1	2	2	2	3									2									
1906	1954	783	25		636	130		9																	
1916	1950	466	84		313	90		3																	
1924	1956	608	91		482	69		1																	
1886	1946	662	1		24	132		507			6						5			1					
1890	1992	27			1	2		24																	
1892	1950	2072	2		85	295		1711			1						11								
1892	1990	243	4		14	5		230									1							1	
1916	1958	1195	99		1017	135		5																	
1900	1962	1914	40	2	958	239		803			4				1		1						1		
1916	1944	2028			1795	223		9							1										
1926	1956	502	101		331	90		1																	
1904	1950	378	15	1	273	85		12																	
1900	1954	988	14		452	145		430									2								
1950	1980	335	1	290	4	40																			
1906	1950	447	25		360	70		3									1								
1886	1984	97			5	6		88			1				1										
1904	1956	769	43	1	609	128		20																	
1932	1960	363	239	5	7	114					1														
1908	1956	968	51	1	808	133		8																	
1916	1962	1972	134	16	1741	179		13			1														
1898	1950	1006	6		238	155		641			1						6						1		
1900	1952	884	24		396	154		349																	
1918	1948	287	2	1	214	62		9			1														
1900	1990	588	33	2	362	36		239									2								
1948	1988	1056	1	1012	6	35		1					1												
1884	1974	146			14	20		113			3						2								
1910	1962	1862	91	10	1630	204		6																	
1952	1988	638	8	549	2	79							1												
1912	1952	503	35		413	69		1			1														
1960	1990	264	1	5	1	234	18			1		5	2												1
1912	1956	886	61		751	107		5																	
1930	1954	318	231	1	14	73		1			1														
1974	1994	29		1		9	18									4									
1898	1956	1888	24	3	494	221		1245									11							1	
1950	1988	789		725	2	58		1				1	1						1						1
1890	1994	21			1			20									1								
1900	1960	1628	32	2	807	248		641			1						2								1
1896	1950	1746	3	2	136	259		1363			3				1		13						1		
1924	1952	536	113		367	75		2																	
1932	1964	576	336	48	11	194																			
1888	1934	39			1	6		31									1								
1932	1950	452	362	1	7	78		4																	
1888	1918	24				10		13							1		1								
1884	1950	458	3		33	120		303			10						5								
1944	1964	257		135	8	112		2																	
1934	1974	574	341	114	6	152		1																	
1944	1984	563	1	506	4	52																			
1872	1950	240			2	69		47			128														
1916	1954	700	67		569	92		3							1										
1918	1950	526	120		355	76		9																	
1914	1960	1468	93	8	1258	155		6																	
1922	1952	582	91	2	445	73																			
1936	1958	256	80	2	5	170																			
1908	1954	790	41		633	132		5																	
1924	1964	1714	177	53	1461	145		2																	
1922	1954	531	67		401	84		2																	
1930	1960	455	278	7	9	160		1									1								
1882	1958	512		1	39	127		316			47				1		5		1						
1928	1960	523	251	2	141	141		2			1		1												
1896	1954	2635	13	1	260	326		2081			3				3		16						1		
1900	1944	289			124	70		98																	
1906	1956	1006	51		832	138		16																2	
1910	1942	172	1		152	19																			
1916	1956	838	71		713	94		2																	
1932	1956	310	203	1	5	102		1																	
1936	1970	380	106	86	4	182		1							1										
1932	1958	302	178		5	118		1			1														
1906	1952	648	22		532	97		5																	
1888	1980	459	1		28	23		416			3				1		2								
1900	1942	71			47	10		14																	
1918	1954	657	61		527	89		5																	
1888	1990	34	1		1	3		30									1							1	
1888	1994	8						8																	
1956	2008	2101		714		1149	247		19	2		14	11	8		3		1	1						
1946	1966	1120	7	926	16	173		1																	
1944	1970	373	1	327	3	39		3																	
1886	1940	63			1	15		47																	
1912	1950	417	51		314	62		9																	
1908	1952	624	29		492	101		9																	
1956	1988	417		143	2	270		1			1														
1948	1980	439		411	1	27																			
1956	1978	262	1	100	5	156																			
1962	1982	130	1	5	3	107	1					1	12												
1942	1972	312	2	233	20	56		1																	
1898	1932	8				1		7																	
1952	1970	119	3	90	13	13																			
1962	1990	198	2	2	1	159	30			2		1	3												
1930	1974	1078	864	145	47	117		1																	
1950	1976	348		306		40		2																	
1886	1992	10			1			10																	
1940	1978	329	2	187	1	139																			
1936	1956	195	80	2	3	109		2																	
1940	1976	280		149	5	126																			
1920	2008	12611	1854	938	12310	126																			
1942	1964	341	1	126	13	203																			
1802	1836	1				1																			
1888	1984	218	2		10	6		209									3								
1894	1920	14				4		10																	
1906	1946	189			140	46		4																	
1908	1946	171			134	30		7																	
1928	1952	515	307		111	104		1																	
1942	1962	238	2	61	12	164		1																	
1936	1978	521	215	139	6	190																			
1920	1960	1435	87	9	1213	183		3																1	
1928	1958	481	211		140	138		4																	
1894	1922	5				3		2																	
1952	1974	294	3	236	1	54																			
1932	1954	270	196		7	66		1																	
1960	1984	216		3	1	208				1		1	3												
1910	1950	419	34		317	70		7																	
1888	1932	21				5		16																	
