birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1922	1994	10269	1532	614	9990	98																			
1928	1992	5780	3827	720	1998	356	1	3							1		1								1
1914	1988	5229	599	195	5016	129		7																	
1890	1956	2937	9	2	106	330		2536			4						11						2		
1954	2004	1840	1	1341		417	138		5	4		10	11			3		1							
1948	1990	1204	3	1137	2	58	11					2	1												1
1938	1994	1840	55	649	5	1149	10	1				1	1												
1934	1992	2765	1922	464	18	634	2						1											1	
1942	1990	1225	4	902	8	310	4				1				1										
1928	1996	6750	4779	1117	2317	296	2					1	1												
1914	1990	5396	607	190	5182	132		6							1					1					
1936	1994	2384	953	627	4	1017	7			2		4	4			2									
1910	1982	2923	289	78	2758	117		8																	
1916	1994	7228	1041	364	7019	130		2																	
1926	1990	6533	1723	525	5378	183		9							1										
1924	1990	7973	1162	415	7413	183		4							2									1	1
1908	1990	2555	218	41	2405	116		5																	
1938	1992	1653	76	594	6	980	5	2		1			1												1
1962	1994	245				185	54			6		5	6			2									
1928	1994	6181	4314	999	2122	330		3				1	1												
1906	1988	2092	168	33	1992	69		15																	
1952	1994	931	2	803		105	50			2		4	4			2									
1924	2002	13506	2397	1014	12806	127						2	2												
1962	2004	435				285	126		16	6		17	19	2		1		4							
1922	2002	13895	2087	992	13531	105							1												
1980	2006	170				21	80		101					20		5		6	4						
1922	1990	8671	1086	425	8259	178		6							1										
1900	1986	942	58	2	544	52		413									3							1	
1920	1988	8636	1084	400	8368	123		9																1	
1928	1984	3257	2100	379	1215	166		1																	
1948	1986	849		811	3	35																			
1932	1978	1086	918	165	9	89		2																1	
1940	1998	2082	3	1421	1	650	29			3		3	3			1									
1928	2000	8789	6353	1408	2850	404	2					3	3												
1924	1996	10326	1966	841	9757	120	2																		
1924	1984	5401	902	308	4990	115		4																1	
1900	1984	1088	69	2	606	52		496			1						3								
1922	1974	3023	319	140	2745	130		5																	
1936	1998	3177	1242	1017	7	1203	21					1	2												
1964	2006	362				188	155		28	3		8	8	5		2		2							
1914	1974	2955	244	64	2721	151		13																	
1924	1982	4226	654	235	3916	76		3																	1
1944	2000	2743	3	2622		111	60			3		6	6			3									
