war	start	end
KOREA	1950	1953
VIETNAM	1961	1975
WORLD WAR II	1939	1945
PERSIAN GULF	1991	1991
WORLD WAR I	1914	1918
IRAQ	2003	2010
PANAMA	1989	1989
SPANISH AMERICAN WAR	1898	1898
GRENADA	1983	1983
LEBANON	1982	1984
AFGHANISTAN	2001	2015
CIVIL WAR	1860	1865
SOMALIA	1993	1993
MEXICAN BORDER	1900	1910
KOSOVO	1999	1999
PHILIPPINES	1899	1913
INDIAN WARS	1880	1890
CONFEDERATE STATES	1860	1865
REVOLUTIONARY WAR	1776	1783
MEXICAN WAR	1846	1848
WAR OF 1812	1812	1815
